entry_time,exit_time,type,entry_price,exit_price,size,pnl,exit_reason,duration_hours
2024-01-10 10:00:00,2024-01-16 08:00:00,long,45683.0,45329.704364681354,0.0033179286645337114,-1.1722097154783826,Stop Loss,142.0
2024-01-16 09:00:00,2024-01-24 05:00:00,short,42943.0,39344.59674675826,0.003478770883496565,12.518020464456683,Stop Loss,188.0
2024-01-24 09:00:00,2024-01-29 07:00:00,long,39808.0,42150.579827378424,0.011911054199884662,27.902595291460862,Stop Loss,118.0
2024-01-29 08:00:00,2024-01-29 12:00:00,short,42066.0,42116.257756601,0.06911067796833595,-3.4733476318627514,Stop Loss,4.0
2024-01-29 13:00:00,2024-01-31 07:00:00,long,42366.0,43202.910976026964,0.027669482428072517,23.156893545039097,Stop Loss,42.0
2024-01-31 10:00:00,2024-02-01 14:00:00,short,42465.5,42501.25944489582,0.011315025507239944,-0.40461903112093195,Stop Loss,28.0
2024-02-01 22:00:00,2024-02-02 13:00:00,long,42582.0,42865.483623626475,0.02691350569518532,7.629538118962896,Stop Loss,15.0
2024-02-02 15:00:00,2024-02-03 07:00:00,long,43240.5,43085.843080484075,0.014385763772549359,-2.224857909946269,Stop Loss,16.0
2024-02-03 12:00:00,2024-02-03 14:00:00,long,43100.5,43074.74062338528,0.06615731169029902,-1.7041711076477215,Stop Loss,2.0
2024-02-03 15:00:00,2024-02-03 18:00:00,long,43125.0,43094.87463443828,0.03920647425855953,-1.1811093694252064,Stop Loss,3.0
2024-02-03 22:00:00,2024-02-04 11:00:00,short,43039.0,42968.462183236625,0.03765414313117034,2.6560410485684,Stop Loss,13.0
2024-02-04 14:00:00,2024-02-05 04:00:00,short,42887.5,42740.45811722732,0.03905159315564852,5.742219782879363,Stop Loss,14.0
2024-02-05 08:00:00,2024-02-05 15:00:00,long,43028.0,42996.47795948687,0.013184594561102091,-0.4156053239042945,Stop Loss,7.0
2024-02-05 18:00:00,2024-02-06 02:00:00,short,42735.0,42747.28172208057,0.012332622147984957,-0.15146583774618902,Stop Loss,8.0
2024-02-06 07:00:00,2024-02-06 10:00:00,long,42908.0,42834.0222840646,0.017052786794506457,-1.2615262173909052,Stop Loss,3.0
2024-02-06 13:00:00,2024-02-07 03:00:00,long,42880.5,43053.24121855969,0.03631085010507597,6.272380494089119,Stop Loss,14.0
2024-02-07 05:00:00,2024-02-07 06:00:00,long,43027.5,43016.444011723084,0.03733260322896253,-0.41274882364615645,Stop Loss,1.0
2024-02-07 07:00:00,2024-02-07 09:00:00,short,42929.0,43002.24781912026,0.02748601297118098,-2.013290506450207,Stop Loss,2.0
2024-02-07 10:00:00,2024-02-07 12:00:00,short,42895.0,42999.10428585961,0.028764471967252833,-2.9945048122796845,Stop Loss,2.0
2024-02-07 13:00:00,2024-02-09 13:00:00,long,43146.0,47377.964285714275,0.0268654550974128,113.69364649171149,Take Profit,48.0
2024-02-09 14:00:00,2024-02-10 08:00:00,long,47080.0,47148.90714353681,0.009733003444983328,0.6706734654277285,Stop Loss,18.0
2024-02-10 11:00:00,2024-02-11 20:00:00,long,47168.5,48110.231881402695,0.0330283938115127,31.103891443824978,Stop Loss,33.0
2024-02-11 23:00:00,2024-02-12 02:00:00,long,48320.5,48207.82457688482,0.02853198276976507,-3.214853230898276,Stop Loss,3.0
2024-02-12 07:00:00,2024-02-12 08:00:00,long,48210.0,48175.71434796884,0.02897841863570067,-0.9935439777569616,Stop Loss,1.0
2024-02-12 09:00:00,2024-02-12 14:00:00,short,47883.5,48083.83042664501,0.013575424603766931,-2.719570602759752,Stop Loss,5.0
2024-02-12 15:00:00,2024-02-13 13:00:00,long,49973.5,49779.177214447656,0.005851291986003596,-1.1370393578003242,Stop Loss,22.0
2024-02-13 14:00:00,2024-02-13 20:00:00,short,48720.5,49351.22931544735,0.008250722811688108,-5.20397275096189,Stop Loss,6.0
