entry_time,exit_time,type,entry_price,exit_price,size,pnl,exit_reason,duration_hours
2024-01-10 10:00:00,2024-01-16 08:00:00,long,45683.0,45661.25998737277,0.0033179286645337114,-0.07213181106322196,Stop Loss,142.0
2024-01-16 09:00:00,2024-01-24 05:00:00,short,42943.0,39344.59674675826,0.003486442707436595,12.545626780680786,Stop Loss,188.0
2024-01-24 09:00:00,2024-01-29 07:00:00,long,39808.0,42166.57748299389,0.011937321957613458,28.155098776475636,Stop Loss,118.0
2024-01-29 08:00:00,2024-01-29 12:00:00,short,42066.0,42116.257756601,0.06928756436613118,-3.4822375453891716,Stop Loss,4.0
2024-01-29 13:00:00,2024-01-31 07:00:00,long,42366.0,43388.85649550905,0.027740301514492176,28.3743475914778,Stop Loss,42.0
2024-01-31 10:00:00,2024-02-01 14:00:00,short,42465.5,42501.25944489582,0.011448408282824118,-0.4093887251344856,Stop Loss,28.0
2024-02-01 22:00:00,2024-02-02 13:00:00,long,42582.0,43023.40294780414,0.027230765085190876,12.019739979565337,Stop Loss,15.0
2024-02-02 15:00:00,2024-02-02 17:00:00,long,43240.5,43035.00344742058,0.014664612315717694,-3.0135272757936584,Stop Loss,2.0
2024-02-02 19:00:00,2024-02-02 20:00:00,long,43063.0,42999.69021206348,0.0182985666221775,-1.1584783723923993,Stop Loss,1.0
2024-02-02 22:00:00,2024-02-03 06:00:00,long,43213.0,43164.86369200701,0.014692266761138325,-0.7072314779292798,Stop Loss,8.0
2024-02-03 12:00:00,2024-02-03 14:00:00,long,43100.5,43084.83544555361,0.06713334409457936,-1.05161392373777,Stop Loss,2.0
2024-02-03 15:00:00,2024-02-03 18:00:00,long,43125.0,43119.789398498775,0.03983215419191634,-0.20754948242942609,Stop Loss,3.0
2024-02-03 22:00:00,2024-02-04 11:00:00,short,43039.0,42968.462183236625,0.03832165466539128,2.7031258548567165,Stop Loss,13.0
2024-02-04 14:00:00,2024-02-05 04:00:00,short,42887.5,42740.45811722732,0.03974387790025927,5.8440146351417335,Stop Loss,14.0
2024-02-05 08:00:00,2024-02-05 15:00:00,long,43028.0,43133.341284264585,0.01341832365999312,1.4135034470215395,Stop Loss,7.0
2024-02-05 18:00:00,2024-02-06 02:00:00,short,42735.0,42747.28172208057,0.012591050066093453,-0.15463977761425696,Stop Loss,8.0
2024-02-06 07:00:00,2024-02-06 10:00:00,long,42908.0,42881.14255346971,0.01741012492879547,-0.467591499360761,Stop Loss,3.0
2024-02-06 13:00:00,2024-02-06 20:00:00,long,42880.5,43114.52795823588,0.03712421722842725,8.688104759074037,Stop Loss,7.0
2024-02-06 21:00:00,2024-02-06 23:00:00,long,43193.5,43143.54231461678,0.018261632458559617,-0.9123088889486947,Stop Loss,2.0
2024-02-07 05:00:00,2024-02-07 06:00:00,long,43027.5,43012.48350113468,0.03825751795375748,-0.5744939749425431,Stop Loss,1.0
2024-02-07 07:00:00,2024-02-07 09:00:00,short,42929.0,43002.24781912026,0.028159716422368183,-2.062637814983463,Stop Loss,2.0
